N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"64,700",100,+0.15%,100,"3,862,449","5,969,783",56.53,"14,839,843",20.24,8.69,
2,SK하이닉스,"96,800","1,400",-1.43%,"5,000","704,706","728,002",50.11,"2,412,452",30.83,4.25,
3,삼성바이오로직스,"799,000","9,000",-1.11%,"2,500","528,658","66,165",10.09,"118,761",153.92,4.77,
4,LG화학,"724,000","3,000",+0.42%,"5,000","511,089","70,592",41.29,"278,748",67.64,1.84,
5,삼성전자우,"58,300",300,+0.52%,100,"479,743","822,887",86.03,"1,995,339",18.24,N/A,
6,NAVER,"281,000",500,+0.18%,100,"461,580","164,263",55.71,"434,640",55.94,10.56,
7,셀트리온,"296,500","2,500",+0.85%,"1,000","400,268","134,998",20.51,"527,318",100.00,11.19,
8,현대차,"177,000","3,000",-1.67%,"5,000","378,193","213,668",30.97,"1,257,748",25.50,4.32,
9,삼성SDI,"515,000","3,000",-0.58%,"5,000","354,137","68,765",43.53,"332,398",189.20,2.94,
10,카카오,"365,500",0,0.00%,500,"322,662","88,280",32.14,"263,459",-208.86,-5.81,
11,LG생활건강,"1,564,000","32,000",+2.09%,"5,000","244,269","15,618",45.65,"27,085",35.67,20.32,
12,기아차,"58,100",700,-1.19%,"5,000","235,516","405,363",38.07,"1,888,947",22.12,6.50,
13,현대모비스,"240,500","2,500",-1.03%,"5,000","228,607","95,055",43.18,"278,362",13.10,7.28,
14,삼성물산,"121,000","1,500",-1.22%,100,"226,133","186,887",14.27,"363,924",21.14,4.77,
15,POSCO,"237,500","1,500",+0.64%,"5,000","207,069","87,187",51.01,"247,396",22.58,4.18,
16,KB금융,"45,650",850,-1.83%,"5,000","189,816","415,808",65.98,"1,892,355",5.97,8.92,
17,SK텔레콤,"229,000",500,-0.22%,500,"184,908","80,746",34.11,"230,226",16.86,3.92,
18,엔씨소프트,"828,000",0,0.00%,500,"181,779","21,954",48.12,"75,437",34.87,14.72,
19,신한지주,"33,500",250,+0.75%,"5,000","173,036","516,527",57.85,"1,698,124",5.03,9.09,
20,SK,"214,000",500,-0.23%,200,"150,571","70,360",21.76,"151,064",-412.33,4.31,
21,삼성생명,"73,500","1,500",-2.00%,500,"147,000","200,000",12.35,"994,322",16.34,3.26,
22,LG전자,"88,700",400,-0.45%,"5,000","145,156","163,648",35.84,"585,973",19.27,0.22,
23,SK이노베이션,"154,000",0,0.00%,"5,000","142,397","92,466",24.00,"371,308",-6.31,-0.20,
24,삼성에스디에스,"179,500",500,+0.28%,500,"138,893","77,378",12.28,"114,641",26.50,11.76,
25,한국전력,"21,200",150,+0.71%,"5,000","136,096","641,964",16.75,"2,373,872",-14.77,-3.42,
26,SK바이오팜,"170,000",0,0.00%,500,"133,133","78,313",2.93,"170,356",-154.55,-313.66,
27,LG,"75,900",500,+0.66%,"5,000","130,971","172,557",34.72,"236,401",10.73,5.87,
28,KT&G,"86,300","1,000",+1.17%,"5,000","118,483","137,292",41.48,"419,160",12.04,12.39,
29,아모레퍼시픽,"197,000","9,000",+4.79%,500,"115,163","58,458",30.68,"882,154",99.04,5.36,
30,넷마블,"130,500","1,000",+0.77%,100,"112,027","85,844",22.58,"258,795",53.99,3.54,
31,삼성전기,"149,000","1,500",-1.00%,"5,000","111,294","74,694",34.28,"380,534",45.86,10.18,
32,하나금융지주,"35,400",300,-0.84%,"5,000","106,286","300,242",65.05,"1,312,938",4.20,8.77,
33,롯데케미칼,"287,000","5,500",+1.95%,"5,000","98,370","34,275",27.02,"243,336",84.84,5.51,
34,삼성화재,"206,000",0,0.00%,500,"97,592","47,375",45.80,"170,496",15.75,4.85,
35,한온시스템,"15,250",250,-1.61%,100,"81,404","533,800",21.02,"2,173,486",48.88,14.98,
36,한화솔루션,"48,800",600,-1.21%,"5,000","78,014","159,864",19.13,"1,881,347",-86.83,-4.02,
37,S-Oil,"65,700",600,+0.92%,"2,500","73,967","112,583",74.17,"296,999",-9.03,1.01,
38,고려아연,"388,000","4,500",+1.17%,"5,000","73,216","18,870",23.81,"32,050",13.31,9.76,
39,우리금융지주,"9,970",70,+0.71%,"5,000","72,010","722,268",25.68,"1,623,531",5.26,N/A,
40,현대글로비스,"187,000","1,000",-0.53%,500,"70,125","37,500",36.03,"141,291",12.74,11.25,
41,기업은행,"9,330",250,+2.75%,"5,000","68,917","738,664",10.77,"3,625,296",4.47,7.36,
